threshold,tp,fn,fp,tn,precision,recall,f1,accuracy,letter
0.5000000000000001,295,6,99,82,0.748730964467005,0.9800664451827242,0.8489208633093525,0.7821576763485477,p
0.5500000000000002,295,6,99,82,0.748730964467005,0.9800664451827242,0.8489208633093525,0.7821576763485477,p
0.6000000000000002,294,7,98,83,0.75,0.9767441860465116,0.8484848484848485,0.7821576763485477,p
0.6500000000000001,293,8,93,88,0.7590673575129534,0.973421926910299,0.8529839883551674,0.7904564315352697,p
0.7000000000000002,292,9,90,91,0.7643979057591623,0.9700996677740864,0.855051244509517,0.7946058091286307,p
0.7500000000000002,290,11,85,96,0.7733333333333333,0.9634551495016611,0.8579881656804733,0.8008298755186722,p
0.8000000000000002,288,13,82,99,0.7783783783783784,0.9568106312292359,0.8584202682563339,0.8029045643153527,p
0.8500000000000002,285,16,72,109,0.7983193277310925,0.946843853820598,0.8662613981762919,0.8174273858921162,p
0.9000000000000002,279,22,25,156,0.9177631578947368,0.9269102990033222,0.9223140495867768,0.9024896265560166,p
0.9500000000000003,243,58,12,169,0.9529411764705882,0.8073089700996677,0.8741007194244604,0.8547717842323651,p
0.1,90,0,23,34,0.7964601769911505,1.0,0.8866995073891626,0.8435374149659864,q
0.15000000000000002,90,0,23,34,0.7964601769911505,1.0,0.8866995073891626,0.8435374149659864,q
